,target_chemblid,year,max_phase,size,cumsum,best_phase,total_compounds,number_of_targets,avg,difference,r_difference,peak_to_current,target
377,CHEMBL1075126,2016,0.0,0.0,526,0,373003.0,1151,324.068635969,0.0,1.8887797685e-05,0.131855992599,Pyruvate kinase isozymes R/L
674,CHEMBL1075149,2016,0.0,0.0,141,0,373003.0,1151,324.068635969,0.0,5.50618128026e-06,0.14604293946,Cystine/glutamate transporter
755,CHEMBL1075155,2016,0.0,1.0,253,0,373003.0,1151,324.068635969,2.6809435849e-06,1.98319589567e-06,0.0306551936266,Serine/threonine-protein kinase 38
1403,CHEMBL1163104,2016,0.0,5.0,273,0,373003.0,1151,324.068635969,1.34047179245e-05,6.02498501016e-06,0.0940763680509,Serine/threonine-protein kinase OSR1
2861,CHEMBL1287617,2016,0.0,0.0,418,0,373003.0,1151,324.068635969,0.0,5.03938330036e-06,0.0148042031623,UDP-glucuronosyltransferase 1-1
3185,CHEMBL1293199,2016,0.0,2.0,174,0,373003.0,1151,324.068635969,5.36188716981e-06,3.18661627568e-06,0.0509275476835,Serine/threonine-protein kinase VRK1
3374,CHEMBL1293232,2016,0.0,0.0,238,0,373003.0,1151,324.068635969,0.0,0.0,0.0,Survival motor neuron protein
6209,CHEMBL1743124,2016,0.0,0.0,388,0,373003.0,1151,324.068635969,0.0,2.62578713937e-06,0.0273495751334,Solute carrier organic anion transporter family member 2B1
6236,CHEMBL1743125,2016,0.0,0.0,183,0,373003.0,1151,324.068635969,0.0,0.0,0.0,Solute carrier family 15 member 2
6317,CHEMBL1743128,2016,0.0,0.0,147,0,373003.0,1151,324.068635969,0.0,0.0,0.0,Multidrug resistance-associated protein 4
6695,CHEMBL1743316,2016,0.0,0.0,213,0,373003.0,1151,324.068635969,0.0,1.59668583832e-06,0.00624469602522,UDP-glucuronosyltransferase 1-6
6722,CHEMBL1743317,2016,0.0,0.0,105,0,373003.0,1151,324.068635969,0.0,4.77415843522e-07,0.00619907285843,UDP-glucuronosyltransferase 1-7
6749,CHEMBL1743318,2016,0.0,0.0,228,0,373003.0,1151,324.068635969,0.0,1.43224753057e-06,0.00673812267221,UDP-glucuronosyltransferase 1-8
6776,CHEMBL1743319,2016,0.0,0.0,311,0,373003.0,1151,324.068635969,0.0,1.83539376009e-06,0.00845103802587,UDP-glucuronosyltransferase 1-9
6803,CHEMBL1743320,2016,0.0,0.0,244,0,373003.0,1151,324.068635969,0.0,5.4902822005e-06,0.0249263419133,UDP-glucuronosyltransferase 1-10
