,target_chemblid,year,max_phase,size,cumsum,best_phase,total_compounds,number_of_targets,avg,difference,r_difference,peak_to_current,target
14579,CHEMBL2003,2016,2.0,16.0,943,2,373003.0,1151,324.068635969,4.28950973585e-05,2.08239095271e-05,0.0163651716714,Retinoic acid receptor gamma
16523,CHEMBL2055,2016,2.0,5.0,1156,2,373003.0,1151,324.068635969,1.34047179245e-05,4.30136856121e-05,0.0334586600454,Retinoic acid receptor alpha
16658,CHEMBL2061,2016,2.0,49.0,2061,2,373003.0,1151,324.068635969,0.00013136623566,0.000182479107903,0.166182162349,Retinoid X receptor alpha
22193,CHEMBL2203,2016,2.0,4.0,818,2,373003.0,1151,324.068635969,1.07237743396e-05,5.26959591739e-06,0.0184750317414,Motilin receptor
25838,CHEMBL236,2016,2.0,174.0,8409,2,373003.0,1151,324.068635969,0.000466484183773,0.000540380409079,0.145730792896,Delta opioid receptor
26135,CHEMBL2373,2016,0.0,0.0,1024,2,373003.0,1151,324.068635969,0.0,6.87125630387e-05,0.0432005106699,C5a anaphylatoxin chemotactic receptor
28754,CHEMBL250,2016,2.0,2.0,799,2,373003.0,1151,324.068635969,5.36188716981e-06,4.77828661701e-06,0.000630088291426,Platelet activating factor receptor
33911,CHEMBL298,2016,2.0,15.0,7350,2,373003.0,1151,324.068635969,4.02141537736e-05,8.87314255579e-05,0.00275495313375,Cholecystokinin B receptor
33992,CHEMBL2996,2016,2.0,15.0,1615,2,373003.0,1151,324.068635969,4.02141537736e-05,0.000140130844,0.180582198858,Protein kinase C delta
34424,CHEMBL3026,2016,0.0,0.0,188,2,373003.0,1151,324.068635969,0.0,3.34191090473e-06,0.0227637263077,GABA receptor alpha-3 subunit
34802,CHEMBL3070,2016,0.0,0.0,448,2,373003.0,1151,324.068635969,0.0,6.78988958353e-07,0.00126405146686,Intercellular adhesion molecule-1
45872,CHEMBL3623,2016,2.0,74.0,1164,2,373003.0,1151,324.068635969,0.000198389825283,7.78691325685e-05,0.137543909421,Quinone reductase 1)
49301,CHEMBL3776,2016,0.0,0.0,766,2,373003.0,1151,324.068635969,0.0,8.0604335592e-06,0.0179972106049,Caspase-8
51542,CHEMBL3911,2016,0.0,0.0,2012,2,373003.0,1151,324.068635969,0.0,2.33431104996e-06,0.000186493214188,Leukotriene B4 receptor 1
55538,CHEMBL4308,2016,2.0,6.0,4197,2,373003.0,1151,324.068635969,1.60856615094e-05,4.98071010447e-05,0.0584558222075,Bradykinin B1 receptor
55862,CHEMBL4338,2016,2.0,13.0,703,2,373003.0,1151,324.068635969,3.48522666038e-05,2.03777242383e-05,0.0148898745177,Purine nucleoside phosphorylase
56753,CHEMBL4429,2016,2.0,36.0,2622,2,373003.0,1151,324.068635969,9.65139690565e-05,0.000275408504809,0.194040608515,Neurokinin 3 receptor
58238,CHEMBL4561,2016,0.0,0.0,3180,2,373003.0,1151,324.068635969,0.0,7.39006292556e-05,0.0420732478015,Neuropeptide Y receptor type 5
60587,CHEMBL4801,2016,2.0,2.0,1343,2,373003.0,1151,324.068635969,5.36188716981e-06,3.56086437712e-05,0.0367786417088,Caspase-1
67526,CHEMBL5491,2016,2.0,5.0,816,2,373003.0,1151,324.068635969,1.34047179245e-05,2.17610185818e-05,0.0999902657863,Serine/threonine-protein kinase WEE1
69578,CHEMBL5661,2016,0.0,0.0,180,2,373003.0,1151,324.068635969,0.0,7.18444875532e-17,1.27439480845e-12,Exportin-1
