,target_chemblid,year,max_phase,size,cumsum,best_phase,total_compounds,number_of_targets,avg,difference,r_difference,peak_to_current,target
2402,CHEMBL1250417,2016,0.0,0.0,126,4,373003.0,1151,324.068635969,0.0,2.72169105917e-06,0.080550062124,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4
4805,CHEMBL1641347,2016,0.0,0.0,400,4,373003.0,1151,324.068635969,0.0,1.43224753057e-06,0.00397954087471,Solute carrier family 22 member 6
4832,CHEMBL1641348,2016,4.0,6.0,352,4,373003.0,1151,324.068635969,1.60856615094e-05,2.12083857442e-05,0.0762338778294,Solute carrier family 22 member 8
5426,CHEMBL1697671,2016,0.0,0.0,112,4,373003.0,1151,324.068635969,0.0,2.86449506113e-06,0.0966866212898,Placenta growth factor
7505,CHEMBL1782,2016,0.0,0.0,4265,4,373003.0,1151,324.068635969,0.0,0.00028711038266,0.179435950118,Farnesyl diphosphate synthase
7640,CHEMBL1790,2016,4.0,25.0,6915,4,373003.0,1151,324.068635969,6.70235896226e-05,0.000338689903253,0.0936539233935,Vasopressin V2 receptor
7694,CHEMBL1792,2016,4.0,4.0,4496,4,373003.0,1151,324.068635969,1.07237743396e-05,0.000266819321989,0.167414276978,Somatostatin receptor 5
9260,CHEMBL1801,2016,4.0,440.0,20090,4,373003.0,1151,324.068635969,0.00117961517736,0.00109444203077,0.0948183064739,Plasminogen
9314,CHEMBL1804,2016,4.0,28.0,4584,4,373003.0,1151,324.068635969,7.50664203773e-05,0.000131962743001,0.0558126854649,Somatostatin receptor 2
9341,CHEMBL1805,2016,0.0,0.0,654,4,373003.0,1151,324.068635969,0.0,2.24066356233e-05,0.0459902906395,Serotonin 1f (5-HT1f) receptor
9422,CHEMBL1808,2016,4.0,12.0,13968,4,373003.0,1151,324.068635969,3.21713230188e-05,0.000888715503541,0.041250085011,Angiotensin-converting enzyme
9476,CHEMBL1811,2016,4.0,38.0,1305,4,373003.0,1151,324.068635969,0.000101875856226,6.35091641228e-05,0.189649788104,Prostanoid EP1 receptor
9503,CHEMBL1812,2016,0.0,0.0,111,4,373003.0,1151,324.068635969,0.0,1.42030484596e-17,1.44628695594e-13,Pancreatic lipase
9530,CHEMBL1817,2016,0.0,0.0,380,4,373003.0,1151,324.068635969,0.0,1.42030484596e-17,2.45241318019e-14,Erythropoietin receptor
9584,CHEMBL1822,2016,0.0,0.0,204,4,373003.0,1151,324.068635969,0.0,1.30841393702e-05,0.0486293846592,Inosine-5'-monophosphate dehydrogenase 1
9665,CHEMBL1827,2016,4.0,100.0,11850,4,373003.0,1151,324.068635969,0.00026809435849,0.000444091706382,0.0621659687398,Phosphodiesterase 5A
9773,CHEMBL1832,2016,0.0,0.0,244,4,373003.0,1151,324.068635969,0.0,2.31280960362e-06,0.0081325368462,Calcitonin receptor
10178,CHEMBL1854,2016,0.0,0.0,765,4,373003.0,1151,324.068635969,0.0,1.56396163381e-17,6.38433979824e-14,Luteinizing hormone/Choriogonadotropin receptor
10205,CHEMBL1855,2016,0.0,0.0,46672,4,373003.0,1151,324.068635969,0.0,0.000234602145318,0.0144986934582,Gonadotropin-releasing hormone receptor
10232,CHEMBL1856,2016,4.0,19.0,967,4,373003.0,1151,324.068635969,5.09379281132e-05,5.22498437867e-05,0.0371177789151,Steroid 5-alpha-reductase 2
10367,CHEMBL1864,2016,0.0,0.0,1608,4,373003.0,1151,324.068635969,0.0,1.21701693861e-17,2.29966619227e-14,Thrombopoietin receptor
10583,CHEMBL1873,2016,4.0,8.0,969,4,373003.0,1151,324.068635969,2.14475486792e-05,2.60500029611e-05,0.0419268891492,Tissue-type plasminogen activator
10745,CHEMBL1886,2016,0.0,0.0,111,4,373003.0,1151,324.068635969,0.0,1.81773270481e-17,3.76012623135e-13,"Potassium channel, inwardly rectifying, subfamily J, member 11"
10880,CHEMBL1898,2016,4.0,252.0,27504,4,373003.0,1151,324.068635969,0.000675597783396,0.000742930836899,0.0414826811471,Serotonin 1b (5-HT1b) receptor
10961,CHEMBL1901,2016,4.0,7.0,1277,4,373003.0,1151,324.068635969,1.87666050943e-05,6.00134851533e-05,0.171412139332,Cholecystokinin A receptor
10988,CHEMBL1902,2016,4.0,210.0,4554,4,373003.0,1151,324.068635969,0.00056299815283,0.000177096738634,0.0611145365927,FK506-binding protein 1A
11015,CHEMBL1903,2016,4.0,1.0,177,4,373003.0,1151,324.068635969,2.6809435849e-06,1.23408056977e-05,0.0914453106618,GABA transporter 1
11528,CHEMBL1910,2016,0.0,0.0,120,4,373003.0,1151,324.068635969,0.0,1.48801617085e-06,0.0082354847854,Adenosine deaminase
11825,CHEMBL1917,2016,4.0,2.0,1570,4,373003.0,1151,324.068635969,5.36188716981e-06,3.19766849321e-05,0.0421023768702,Somatostatin receptor 1
12365,CHEMBL1935,2016,0.0,0.0,289,4,373003.0,1151,324.068635969,0.0,4.263920277e-05,0.186560541964,Aldehyde dehydrogenase
12878,CHEMBL1944,2016,0.0,0.0,601,4,373003.0,1151,324.068635969,0.0,2.06744533265e-05,0.0272992385636,Neprilysin
13040,CHEMBL1949,2016,0.0,0.0,540,4,373003.0,1151,324.068635969,0.0,2.9635245228e-05,0.193507116149,Cyclophilin A
13148,CHEMBL1950,2016,0.0,0.0,270,4,373003.0,1151,324.068635969,0.0,2.2964757266e-17,1.61594256268e-13,Antithrombin-III
13202,CHEMBL1952,2016,4.0,8.0,6076,4,373003.0,1151,324.068635969,2.14475486792e-05,0.000258135286441,0.0192772561862,Thymidylate synthase
13769,CHEMBL1963,2016,0.0,0.0,156,4,373003.0,1151,324.068635969,0.0,2.47130332691e-17,7.71761668424e-13,Thyroid stimulating hormone receptor
14093,CHEMBL1978,2016,4.0,425.0,23955,4,373003.0,1151,324.068635969,0.00113940102358,0.00173980791956,0.0511790856369,Cytochrome P450 19A1
14174,CHEMBL1983,2016,4.0,264.0,29544,4,373003.0,1151,324.068635969,0.000707769106415,0.000527980698998,0.020934502153,Serotonin 1d (5-HT1d) receptor
14228,CHEMBL1987,2016,4.0,154.0,2107,4,373003.0,1151,324.068635969,0.000412865312075,0.000110680910792,0.135974461314,Prostanoid FP receptor
14471,CHEMBL1997,2016,0.0,0.0,564,4,373003.0,1151,324.068635969,0.0,6.2866765249e-06,0.0362779395364,Equilibrative nucleoside transporter 1
14498,CHEMBL2000,2016,4.0,72.0,1278,4,373003.0,1151,324.068635969,0.000193027938113,0.000157022300846,0.14420878733,Plasma kallikrein
14525,CHEMBL2001,2016,4.0,364.0,14560,4,373003.0,1151,324.068635969,0.000975863464905,0.00110934447873,0.120634340892,Purinergic receptor P2Y12
15227,CHEMBL202,2016,4.0,120.0,7521,4,373003.0,1151,324.068635969,0.000321713230188,0.000265895462658,0.0306853325381,Dihydrofolate reductase
15902,CHEMBL204,2016,4.0,876.0,54528,4,373003.0,1151,324.068635969,0.00234850658038,0.00223081250909,0.083064781852,Thrombin
16064,CHEMBL2044,2016,4.0,1.0,136,4,373003.0,1151,324.068635969,2.6809435849e-06,9.64712458381e-07,0.0201895023289,Gamma-amino-N-butyrate transaminase
16550,CHEMBL2056,2016,4.0,120.0,5072,4,373003.0,1151,324.068635969,0.000321713230188,0.000537234690881,0.125667284974,Dopamine D1 receptor
17765,CHEMBL2074,2016,4.0,26.0,686,4,373003.0,1151,324.068635969,6.97045332075e-05,5.26096659858e-05,0.182713092551,Maltase-glucoamylase
18008,CHEMBL208,2016,4.0,525.0,125050,4,373003.0,1151,324.068635969,0.00140749538207,0.00407726582707,0.070062771271,Progesterone receptor
18305,CHEMBL210,2016,4.0,4218.0,132460,4,373003.0,1151,324.068635969,0.0113082200411,0.00935304005667,0.0814169167015,Beta-2 adrenergic receptor
18521,CHEMBL211,2016,4.0,187.0,42141,4,373003.0,1151,324.068635969,0.000501336450377,0.00159262299614,0.0627717585823,Muscarinic acetylcholine receptor M2
18737,CHEMBL213,2016,4.0,693.0,60501,4,373003.0,1151,324.068635969,0.00185789390434,0.00218062409778,0.0284260949546,Beta-1 adrenergic receptor
